ReinChange = 12.4, BradleyChange = 12.4, ThomasChange = 12.4, HoekChange = 12.4, JackChange = -12.4, WesselChange = -12.4, TomChange = -12.4, NielsChange = -12.4, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 09/04/2021 00:21:22
ReinChange = 37.54085090678449, JackChange = 39.94731570850145, AlexChange = 44.81584810114273, AaronChange = 44.81584810114273, MossChange = -44.482231365898464, AdamChange = -44.482231365898464, HoekChange = -39.75479852436407, LukeChange = -44.482231365898464, Team1Perf = 1403, Team2Perf = 600, DateOfMatch = 09/04/2021 00:21:22
AronChange = 192.34098531260545, ReinChange = 140.4433059292878, LukeChange = 173.84362493383566, ThomasChange = 164.31565702880812, JackChange = -140.9740920014248, AdamChange = -147.40098434900585, MossChange = -147.40098434900585, AlexChange = -161.19560854149958, Team1Perf = 1996, Team2Perf = 5, DateOfMatch = 09/04/2021 00:21:22
ReinChange = 21.161639875499525, MossChange = 47.978187441009865, AaronChange = 36.89193034235717, AronChange = 26.186036831241758, LukeChange = -43.15464312723542, AdamChange = -22.50987346428077, AlexChange = -27.33341777805522, KoenChange = -45.21114824783866, Team1Perf = 1555, Team2Perf = 459, DateOfMatch = 09/04/2021 00:21:22
LukeChange = 15.813570008233063, ReinChange = 8.825470751983532, KoenChange = 27.64122648229479, LuddowChange = 28.775099741175357, JackChange = -10.96668632149909, NielsChange = -19.6829832533264, TomChange = -19.6829832533264, ThomasChange = -27.762133433550748, Team1Perf = 1410, Team2Perf = 664, DateOfMatch = 09/04/2021 00:21:22
ReinChange = -7.476005035008343, LukeChange = -3.967764560717166, BradleyChange = -1.2353439725997364, AdamChange = 7.33767890695154, ThomasChange = -4.424730999166758, MossChange = 6.415859948791799, AaronChange = -2.0746178871402847, AlexChange = 6.415859948791799, Team1Perf = 986, Team2Perf = 1031, DateOfMatch = 09/04/2021 00:21:22
ReinChange = 24.8, BradleyChange = 24.8, ThomasChange = 24.8, HoekChange = 24.8, JackChange = -24.8, WesselChange = -24.8, TomChange = -24.8, NielsChange = -24.8, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 09/04/2021 10:29:34
ReinChange = 49.46335749510324, JackChange = 55.8247866742635, AlexChange = 60.89360956945952, AaronChange = 60.89360956945952, MossChange = -59.99370400931973, AdamChange = -59.99370400931973, HoekChange = -55.17566124781858, LukeChange = -59.99370400931973, Team1Perf = 1406, Team2Perf = 600, DateOfMatch = 09/04/2021 10:29:34
AronChange = 191.42762981588507, ReinChange = 136.19300177999023, LukeChange = 175.5432138798259, ThomasChange = 161.52645535710215, JackChange = -229.70003299932455, AdamChange = -235.3509942191081, MossChange = -235.3509942191081, AlexChange = -265.6862458907439, Team1Perf = 1993, Team2Perf = 10, DateOfMatch = 09/04/2021 10:29:34
ReinChange = 25.632342349851395, MossChange = 77.28062929075475, AaronChange = 48.253373278920236, AronChange = 33.98431707228694, LukeChange = -65.36895334744293, AdamChange = -25.566523975888785, AlexChange = -34.282384422214506, KoenChange = -70.21747691309358, Team1Perf = 1504, Team2Perf = 442, DateOfMatch = 09/04/2021 10:29:34
LukeChange = 28.851411773574444, ReinChange = 11.713712911340076, KoenChange = 48.916203358808424, LuddowChange = 47.81775063168754, JackChange = -12.822849677144196, NielsChange = -34.51011269929121, TomChange = -34.51011269929121, ThomasChange = -50.850682112893026, Team1Perf = 1385, Team2Perf = 655, DateOfMatch = 09/04/2021 10:29:34
ReinChange = -22.00590032017399, LukeChange = -10.41891830086475, BradleyChange = -8.138152445235873, AdamChange = 22.741957707382245, ThomasChange = -10.90251156009336, MossChange = 19.164571101726608, AaronChange = -9.490744347857902, AlexChange = 21.038440276117658, Team1Perf = 948, Team2Perf = 1009, DateOfMatch = 09/04/2021 10:29:34
ReinChange = 24.8, BradleyChange = 24.8, ThomasChange = 24.8, HoekChange = 24.8, JackChange = -24.8, WesselChange = -24.8, TomChange = -24.8, NielsChange = -24.8, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 09/04/2021 10:42:32
ReinChange = 49.46335749510324, JackChange = 55.8247866742635, AlexChange = 60.89360956945952, AaronChange = 60.89360956945952, MossChange = -59.99370400931973, AdamChange = -59.99370400931973, HoekChange = -55.17566124781858, LukeChange = -59.99370400931973, Team1Perf = 1406, Team2Perf = 600, DateOfMatch = 09/04/2021 10:42:32
AronChange = 191.42762981588507, ReinChange = 136.19300177999023, LukeChange = 175.5432138798259, ThomasChange = 161.52645535710215, JackChange = -151.62227431279956, AdamChange = -155.35240696018812, MossChange = -155.35240696018812, AlexChange = -175.37634770693634, Team1Perf = 1993, Team2Perf = 10, DateOfMatch = 09/04/2021 10:42:32
ReinChange = 30.69822919552433, MossChange = 76.93349971079238, AaronChange = 55.26157976897011, AronChange = 40.36596876128475, LukeChange = -66.21740119654271, AdamChange = -32.75486715676311, AlexChange = -42.86439405699864, KoenChange = -70.67346272424534, Team1Perf = 1547, Team2Perf = 462, DateOfMatch = 09/04/2021 10:42:32
LukeChange = 31.800188771238364, ReinChange = 13.38430596269619, KoenChange = 52.946658312496965, LuddowChange = 52.15392965910946, JackChange = -20.211984388498962, NielsChange = -35.66932770526111, TomChange = -35.66932770526111, ThomasChange = -52.623929230026164, Team1Perf = 1405, Team2Perf = 656, DateOfMatch = 09/04/2021 10:42:32
ReinChange = -18.999629066030167, LukeChange = -7.164352979808695, BradleyChange = -3.7018236542527516, AdamChange = 19.47433238401211, ThomasChange = -8.78416694768206, MossChange = 13.756336918068131, AaronChange = -8.045252946302638, AlexChange = 15.330857408690386, Team1Perf = 989, Team2Perf = 1029, DateOfMatch = 09/04/2021 10:42:33
ReinChange = -52.10598665982432, WesselChange = -48.387294383209735, JackChange = -25.449448106124034, AdamChange = -17.570081610633675, LukeChange = 24.093466457892212, AlexChange = 45.464850353289194, MossChange = 43.92520402658418, AaronChange = 24.91369621516453, Team1Perf = 580, Team2Perf = 1362, DateOfMatch = 11/04/2021 21:24:15
LukeChange = 19.635536886540855, AlexChange = 36.79418081972418, BradleyChange = 35.27172368463394, NielsChange = 43.77472850146534, HoekChange = -39.68068914521318, MossChange = -26.781605065684193, ReinChange = -42.98044631252461, AdamChange = -13.431504060297543, Team1Perf = 1358, Team2Perf = 592, DateOfMatch = 13/04/2021 23:30:38
ReinChange = -7.121866654819358, AlexChange = 6.712367538441652, AdamChange = 21.23151036615783, GallagherChange = 4.279035710463685, LukeChange = -11.1620627376511, ThomasChange = -13.256027575753908, MossChange = 4.596512553498087, GarrettChange = -5.134842852556422, Team1Perf = 1035, Team2Perf = 958, DateOfMatch = 18/04/2021 22:37:22
ReinChange = 24.8, BradleyChange = 24.8, ThomasChange = 24.8, HoekChange = 24.8, JackChange = -24.8, WesselChange = -24.8, TomChange = -24.8, NielsChange = -24.8, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 29/04/2021 18:52:01
ReinChange = 24.8, BradleyChange = 24.8, ThomasChange = 24.8, HoekChange = 24.8, JackChange = -24.8, WesselChange = -24.8, TomChange = -24.8, NielsChange = -24.8, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 29/04/2021 18:53:28
ReinChange = 24.8, BradleyChange = 24.8, ThomasChange = 24.8, HoekChange = 24.8, JackChange = -24.8, WesselChange = -24.8, TomChange = -24.8, NielsChange = -24.8, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 29/04/2021 18:55:41
ReinChange = 24.8, BradleyChange = 24.8, ThomasChange = 24.8, HoekChange = 24.8, JackChange = -24.8, WesselChange = -24.8, TomChange = -24.8, NielsChange = -24.8, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 29/04/2021 18:56:10
ReinChange = 52.67652835600561, JackChange = 52.67652835600561, AlexChange = 60.85611350445369, AaronChange = 60.85611350445369, MossChange = -60.93110563446535, AdamChange = -60.93110563446535, HoekChange = -52.74144089865011, LukeChange = -60.93110563446535, Team1Perf = 1406, Team2Perf = 600, DateOfMatch = 29/04/2021 18:56:10
AronChange = 189.88461498267867, ReinChange = 146.13239954888175, LukeChange = 164.36248931296382, ThomasChange = 164.36248931296382, JackChange = -146.31855547187396, AdamChange = -164.5718682802415, MossChange = -164.5718682802415, AlexChange = -164.5718682802415, Team1Perf = 1992, Team2Perf = 10, DateOfMatch = 29/04/2021 18:56:10
ReinChange = 43.80051524438416, MossChange = 48.32162540586063, AaronChange = 54.349772287829275, AronChange = 54.349772287829275, LukeChange = -48.371855785700404, AdamChange = -48.371855785700404, AlexChange = -48.371855785700404, KoenChange = -62.85444733830532, Team1Perf = 1544, Team2Perf = 463, DateOfMatch = 29/04/2021 18:56:10
LukeChange = 29.99648422957561, ReinChange = 27.588288642743915, KoenChange = 37.2210709900707, LuddowChange = 43.000740398466775, JackChange = -30.018540467979708, NielsChange = -37.24843942462223, TomChange = -37.24843942462223, ThomasChange = -33.11706859225507, Team1Perf = 1406, Team2Perf = 666, DateOfMatch = 29/04/2021 18:56:10
ReinChange = -3.450334801004895, LukeChange = -3.7093689452244814, BradleyChange = -5.004539666322415, AdamChange = -4.033161625498965, ThomasChange = 3.949572783519712, MossChange = 3.949572783519712, AaronChange = 4.357249577854942, AlexChange = 3.949572783519712, Team1Perf = 986, Team2Perf = 1034, DateOfMatch = 29/04/2021 18:56:10
ReinChange = -44.03769086071232, WesselChange = -68.05475612069941, JackChange = -50.44224159670888, AdamChange = -50.44224159670888, LukeChange = 48.35830578144954, WesselChange = 70.1413264037241, MossChange = 51.98880921849529, AdamChange = 51.98880921849529, Team1Perf = 503, Team2Perf = 1361, DateOfMatch = 29/04/2021 18:56:10
ReinChange = 93.3119651297289, AdamChange = 105.15358507004984, BradleyChange = 135.60346491658936, TomChange = 135.60346491658936, LukeChange = -98.78880626821238, MossChange = -105.25404228052996, ThomasChange = -113.15599740669587, JeftaChange = -176.37163841602316, Team1Perf = 2043, Team2Perf = -4, DateOfMatch = 08/06/2021 22:52:13
MarlonChange = -42.12872439841688, LuddowChange = -36.46626144164042, ReinChange = -21.221168865703785, MossChange = -23.59702744896664, LukeChange = 15.783184547405837, TomChange = 20.79054005102444, ThomasChange = 17.786126748853277, JackChange = 17.786126748853277, Team1Perf = 790, Team2Perf = 1241, DateOfMatch = 14/06/2021 19:54:27
AlexChange = 42.75997814182858, MossChange = 42.75997814182858, ReinChange = 42.75997814182858, HoekChange = 42.75997814182858, LukeChange = -59.437347320048964, AdamChange = -59.437347320048964, RachelChange = -59.437347320048964, JackChange = -59.437347320048964, Team1Perf = 1338, Team2Perf = 575, DateOfMatch = 24/10/2021 22:56:08
ReinChange = 12.805400961378952, LukeChange = 12.805400961378952, MossChange = 12.805400961378952, RachelChange = 12.805400961378952, AdamChange = -12.88087483737922, ThomasChange = -14.881010681692764, KoenChange = -14.881010681692764, NielsChange = -14.881010681692764, Team1Perf = 1151, Team2Perf = 823, DateOfMatch = 28/11/2021 21:48:31
ReinChange = 24.8, BradleyChange = 24.8, ThomasChange = 24.8, HoekChange = 24.8, JackChange = -24.8, WesselChange = -24.8, TomChange = -24.8, NielsChange = -24.8, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 28/11/2021 22:16:13
ReinChange = 49.46335749510324, JackChange = 55.8247866742635, AlexChange = 60.89360956945952, AaronChange = 60.89360956945952, MossChange = -59.99370400931973, AdamChange = -59.99370400931973, HoekChange = -55.17566124781858, LukeChange = -59.99370400931973, Team1Perf = 1406, Team2Perf = 600, DateOfMatch = 28/11/2021 22:16:13
AronChange = 191.42762981588507, ReinChange = 136.19300177999023, LukeChange = 175.5432138798259, ThomasChange = 161.52645535710215, JackChange = -151.62227431279956, AdamChange = -155.35240696018812, MossChange = -155.35240696018812, AlexChange = -175.37634770693634, Team1Perf = 1993, Team2Perf = 10, DateOfMatch = 28/11/2021 22:16:13
ReinChange = 30.69822919552433, MossChange = 76.93349971079238, AaronChange = 55.26157976897011, AronChange = 40.36596876128475, LukeChange = -66.21740119654271, AdamChange = -32.75486715676311, AlexChange = -42.86439405699864, KoenChange = -70.67346272424534, Team1Perf = 1547, Team2Perf = 462, DateOfMatch = 28/11/2021 22:16:13
LukeChange = 31.800188771238364, ReinChange = 13.38430596269619, KoenChange = 52.946658312496965, LuddowChange = 52.15392965910946, JackChange = -20.211984388498962, NielsChange = -35.66932770526111, TomChange = -35.66932770526111, ThomasChange = -52.623929230026164, Team1Perf = 1405, Team2Perf = 656, DateOfMatch = 28/11/2021 22:16:13
ReinChange = -18.999629066030167, LukeChange = -7.164352979808695, BradleyChange = -3.7018236542527516, AdamChange = 19.47433238401211, ThomasChange = -8.78416694768206, MossChange = 13.756336918068131, AaronChange = -8.045252946302638, AlexChange = 15.330857408690386, Team1Perf = 989, Team2Perf = 1029, DateOfMatch = 28/11/2021 22:16:13
ReinChange = 76.97803392957282, AdamChange = 140.67070454856938, BradleyChange = 135.15249615921903, TomChange = 146.12178692965662, LukeChange = -113.62505015620228, MossChange = -99.6887898205351, ThomasChange = -127.91324899962206, JeftaChange = -177.02506939957655, Team1Perf = 2020, Team2Perf = -6, DateOfMatch = 28/11/2021 22:16:13
